psychological_safety,clinical_curiosity,decision_confidence,team_cohesion,leadership_support,reflective_practice,adaptive_focus,professional_vitality,cognitive_agility,service_excellence
60.11,74.75,66.01,1,1,47.55,53.31,35.45,31.62,1
35.74,44.46,47.39,0,1,34.19,33.02,26.98,25.66,1
49.87,61.28,54.23,0,1,31.51,40.78,32.41,19.83,1
69.91,83.19,76.46,0,0,44.56,47.92,44.4,34.93,1
46.18,64.5,58.86,0,1,33.79,29.67,24.68,18.33,1
61.01,75.79,77.04,1,0,39.13,40.63,36.25,26.05,1
67.15,79.56,69.7,1,1,55.37,42.08,42.18,38.76,1
58.34,69.63,59.46,1,1,44.48,31.52,15.12,20.94,1
38.55,55.72,59.21,1,0,38.59,33.5,26.97,16.47,1
51.01,63.81,70.38,1,1,41.99,42.26,37.45,33.84,1
78.51,86.78,86.22,0,1,54.08,40.5,38.64,32.26,1
30.7,51.24,50.14,1,1,33.94,40.79,33.13,22.53,1
51.69,64.57,59.14,1,0,47.32,34.02,30.59,18.07,1
48.37,64.36,61.45,0,0,36.41,34.59,31.06,20.85,1
56.45,63.23,61.91,1,1,44.47,41.49,35.29,30.09,1
63.98,71.14,64.12,1,0,44.91,29.91,33.05,26.26,1
74.3,82.11,78.8,1,1,47.99,53.14,40.43,27.48,1
51.76,75.36,75.83,1,0,30.43,37.71,25.16,19.92,1
64.75,76.74,77.66,1,0,52.36,43.88,43.42,32.04,1
61,69.94,70.48,1,0,43.86,30.66,33.28,35.5,1
60.69,69.2,67.95,0,0,46.67,41.64,40.41,27.24,1
48.23,65.64,58.26,1,0,42.74,27.59,41.27,28.98,1
43.03,56.69,62.39,0,1,37.72,39.2,28.66,21.93,0
41.8,60.17,51.36,1,1,43.03,34.61,21.53,21.69,1
45.92,62.51,50.15,1,0,41.24,36.75,39.97,27.25,1
58.86,61.67,63.32,1,0,45.09,29.43,33.42,27.54,1
64.13,75.94,70.68,1,0,52.5,39.14,36.67,31.45,1
58.88,71.95,67.52,0,0,38.15,32.35,23.82,25.85,1
48.41,66.09,67.08,1,1,35.28,52.66,39.34,12.99,1
76.67,77.48,79.48,0,0,44.66,41.72,34.47,17.55,1
73.23,86.48,84.19,1,1,54.16,57.54,53.26,31.07,1
50.75,62.06,67.28,1,0,44.99,45.74,29.87,27.79,1
45.12,70.77,58.86,0,0,26.41,24.14,35.61,23.08,0
56.56,77.94,80.75,1,1,42.59,52.42,31.99,27.44,1
70.21,74.01,68.99,0,0,50.17,36.52,29.13,28.16,1
58.99,61.03,64.86,1,1,42.78,37.46,35.01,23.28,1
61.68,75.44,81.28,0,1,35.84,42.48,26.92,25.95,1
52.46,59.42,68.94,0,1,43.01,32.53,19.72,21.92,1
60.48,77.24,79.67,1,0,49.74,45.95,40.99,35.05,1
73.53,83.33,79.11,0,1,41.27,51.05,38.71,23.75,1
52.12,55.37,51.19,0,0,39.01,29.96,26.15,15.24,1
56.72,72.23,63.56,0,1,36.91,36.19,24.15,15.42,1
58.05,69.36,66.07,1,1,46.72,34.49,24.43,23.13,1
58.4,71.28,65.38,1,0,44.35,32.01,26.81,14.78,1
38.06,62.69,55.4,0,1,27.16,35.03,27.89,20.76,0
32.48,48.58,48.66,1,0,39.68,26.4,26.08,30.03,0
42.76,61.62,56.39,0,1,37.23,38.28,33.72,25.53,1
57.02,64.17,61.97,1,1,59.33,49.43,44.52,36.11,1
61.65,67.79,68.16,1,0,43.32,37.43,26.8,21.84,1
48.63,60.17,55.29,0,0,39.88,29.28,26.25,20.96,1
71.53,74.92,77.68,0,1,46.44,48.19,30.38,25.51,1
53.28,68.37,70.66,0,0,38.8,41.36,34.22,20.76,1
55.24,58.49,58.69,1,1,42.91,43.59,35.63,22.69,1
52.67,69.48,66.43,1,1,47.97,39.76,38.01,26.42,1
56.61,62.89,71.33,1,1,42.14,34.9,26.09,22.77,1
63.45,74.86,76.04,0,0,48.29,38.5,38.43,22.05,1
62.99,65.12,74.64,0,1,35.85,35.26,21.4,11.96,1
44.22,61.03,63.48,1,1,38.01,32.26,32.96,16.63,1
73.28,86.47,86.03,0,0,46.32,40.83,33.84,21.11,1
41.86,56.45,53.69,1,0,32.71,30.36,24.76,19.72,1
55.95,76.26,70.78,1,0,50.06,37.03,32.26,22.09,1
51.71,62.94,58.73,0,1,43.36,33.97,39.07,29.66,1
42.41,59.28,58.62,0,1,33.49,36.96,35.34,41.09,1
54.1,60.02,64.25,0,0,32.92,35.97,38.37,29.9,0
46.11,62.21,61.92,1,0,33.85,35.34,30.33,29.3,1
55.87,63.5,56.41,1,0,57.96,28.32,38.54,26.08,1
59.84,65.56,62.07,1,1,62.89,32.44,34.6,41.9,1
72.66,88.98,76.21,0,0,51.3,33.71,35.48,37.41,1
58.69,61.4,65,0,1,44.54,27.35,31.62,19.15,1
47.67,60.06,57.99,0,1,37.77,50.21,34.29,18.7,1
50.3,67,65.78,0,0,31.59,26.54,30.31,24.77,1
56.68,68.91,56.71,1,0,47.86,27.9,25.31,20.32,1
56.12,56.01,60.33,1,0,44.45,36.27,36.24,30.39,1
72.52,83.01,73.68,0,0,46.89,33.1,22.55,21.9,1
71.74,70.53,75.3,1,1,64.67,47.77,44.34,40.92,1
50.69,60.36,64.73,0,1,32.86,43.9,31.34,29.5,1
48.42,59.85,62.8,1,1,38.98,47.74,38.9,27.6,1
24.32,25.72,39.93,0,0,15.82,27.6,19.75,16.18,0
48.41,60.67,64.53,0,0,35.15,25.26,24.23,16.82,1
43.26,61.44,57.02,0,1,28.4,37.65,20.82,16.63,1
50.74,62.04,54.58,1,0,34.96,35.37,27.16,23.9,1
59.7,70.88,72.48,0,1,37.58,42.39,32.58,16.78,1
57.13,81.42,75.67,1,1,46.28,49.31,29.53,22.07,1
54.64,72.73,57.28,1,1,45.62,37.24,32.25,30.88,1
57.39,68.4,58.4,1,0,45.87,34.5,34.9,26.61,1
53.49,80.64,66.25,0,0,32.97,44.24,33.32,8.75,1
57.36,64.2,64.26,0,1,39.22,41.47,28.77,24.36,1
16.23,40.29,34.22,0,0,18.57,26.2,24.01,15.37,0
51.77,54.37,61.12,0,0,31.03,34.74,44.31,26.35,1
53.67,67.64,63.07,1,0,45.29,34.34,35.86,30.89,1
50.9,62.51,69.84,0,0,39.22,34.07,32.06,36.35,1
52.38,64.65,65.79,0,0,32.87,27.3,17.27,17.4,1
63.44,74.8,71.35,0,0,38.63,47.01,38.57,23.46,1
47.82,62.55,63.47,0,0,30.94,39.83,24.04,16.74,1
81.41,79.62,74.48,0,0,54.43,34.22,36.92,32.58,1
63.26,70.14,76.62,1,1,41.22,35.1,28.96,16.59,1
54.92,66.23,70.41,0,0,37.02,36.12,29.94,27.99,1
52.52,55.81,60.06,0,0,28.82,31,19.61,11.41,0
53.96,70.29,76.81,1,0,47.35,38.52,34.44,21.38,1
44.02,69.31,56.8,0,0,31.37,34.96,24.91,15.37,1
53.86,67.21,69.48,1,0,50.13,34.55,42.06,32.45,1
58.34,65.59,71.68,0,1,35.39,42.97,29.65,20.58,1
61.95,57.65,64.68,1,0,53.42,38.47,46.8,31.83,1
61.96,62.34,64,1,1,45.75,41.53,33.77,29.49,1
51.7,65.81,53.82,0,1,32.72,35.6,35.86,27.27,1
38.01,61.08,63.52,0,0,25.02,33.06,20.05,12.68,1
46.97,58.91,57.01,0,0,31.73,28.59,32.56,19.4,1
74.35,71.84,72.74,0,0,46.75,43.18,43.69,33.66,1
65.75,69.09,74.37,1,0,45.87,34.87,36.15,30.91,1
59.44,66.14,71.18,1,0,45.27,28.64,28.75,29.37,1
45.86,47.8,46.98,0,0,37.51,21.17,19.14,25.23,0
55.04,64.42,59.25,0,0,37.78,29.45,23.79,17.54,1
39.93,60.3,54.61,0,0,36.76,32.96,22.07,20.07,1
48.38,51.19,58.69,1,0,45,29.61,16.55,16.16,1
52.06,60.69,66.79,1,0,45.63,29.16,27.46,23.68,1
50.66,50.85,58.14,0,0,35.56,26.68,29.4,20.6,1
66.48,69.94,67.89,0,0,46.69,33.95,26.7,32.87,1
37.98,52.59,52.7,1,1,37.22,35.78,27.65,25.14,1
44.61,64.59,68.61,0,0,34.46,52.8,36.22,30.45,1
38.5,56.61,50.14,1,0,40.55,34.88,37.38,34.38,1
40.15,48.01,55.34,0,1,26.51,40.28,24.5,13.2,1
56.49,67.93,65.95,0,1,47.97,39.47,20.21,23.65,1
35.79,49.84,53.81,1,0,39.34,34.33,23.8,21.97,0
64.05,72.96,71.26,1,1,43.31,49.96,32.88,25.41,1
52.04,62.83,67.72,1,0,50.93,37.55,38.26,32.07,1
55.83,68.75,69.42,1,1,40.16,41.87,24.51,22.85,1
58.87,70.24,68.7,0,1,44.07,33.62,33.36,12.09,1
49.79,67.54,75.92,1,1,36.82,42.86,40.9,36.63,1
67.39,76.24,80.03,0,0,37.29,37.58,32.14,26.69,1
52.67,74.64,70.58,0,1,36.75,41.19,31.4,15.9,1
62.13,74.71,75.5,1,0,55.91,42.6,39.6,36.53,1
52.61,73.33,69.07,0,1,36.7,43.75,34.37,27.24,1
58.49,73.19,66.42,0,1,36.86,35.99,35.57,26.76,1
58.36,64.73,56.57,1,0,41.45,12.86,17.83,24.92,1
58,75.96,81.6,0,0,44.71,48.82,33.82,26,1
43.31,64.59,59.15,1,0,42.17,36.24,33.93,23.51,1
60.23,52.94,62.12,0,0,37.41,35.42,31.34,20.22,1
51.17,60.09,67.17,0,0,34.81,42.18,30.15,18.63,1
62.57,80.58,72.77,1,0,55.3,35.93,25.65,27.47,1
29.17,53.2,50.17,0,1,31.71,35.13,25.91,25.17,1
37.42,44.3,51.32,1,0,39.38,24.59,31.49,30.13,1
59.36,74.67,73.55,0,1,39.35,47.27,35.12,22.76,1
77.36,93.38,85.86,0,0,45.6,40.86,35.73,27.67,1
65.02,77.41,68.55,0,0,39.3,36.44,27.45,24.48,1
46.81,51.25,61.34,0,0,41.78,35.6,33.42,22.42,1
34.7,46.32,52.96,1,0,36.16,27.32,24.49,12.99,1
63.91,75.34,73.32,0,0,43.57,35.32,27.89,28.33,1
54.03,64.23,67.86,0,0,45.72,30.47,38.97,31.49,1
62.09,79.23,57.88,1,1,39.16,33.48,31.12,24.74,1
56.38,71.68,68.83,1,0,55.81,43.7,40.63,31.42,1
55.36,78.3,69.79,0,1,32.98,37.75,35.97,31.59,1
90.5,99,82.28,0,1,48.19,46.31,39.68,32.42,1
54.93,69.51,69.69,0,0,31.26,38.88,30.57,25.32,1
53.09,62.93,57.96,0,0,29.13,32.26,21.65,13.93,1
53.54,73.58,75.94,1,1,49,38.75,22.33,22.29,1
48,61.03,59.86,0,0,36.99,29.77,31.62,29.7,0
66.88,69.01,73.01,0,0,48.58,40.27,37.51,31.32,1
50.75,63.36,59.64,1,0,38.14,26.78,22.98,19.61,1
62.63,71.42,74.05,1,1,52.18,47.66,44.89,27.1,1
58.42,62.85,71.26,0,1,40.99,38.49,31.13,32.91,1
69.63,82.19,69.74,1,1,51.76,52.77,45.28,26.97,1
60.04,69.19,71.15,0,1,45.52,44.33,37.61,31.88,1
40.44,57.7,48.61,0,1,26.57,35.05,28.87,21.69,1
39.08,49.63,51.49,0,0,18.2,22.67,16.24,20.57,0
71.9,77.94,77.14,0,0,51.23,41.22,34.79,29.72,1
47.7,65.42,57.44,1,0,45.63,38.84,30.19,27.32,1
39.15,52.88,52.22,0,0,27.14,31.86,20.79,21.81,0
46.96,58.03,66.14,0,1,33.53,38.5,32.07,22.25,1
70.18,90.74,86.93,1,1,52.77,50.1,40.17,20.44,1
37.96,55.37,60.11,1,0,35.17,31.23,28.6,28.12,1
44.6,62.85,68.87,0,0,34.08,37.53,22.37,22.02,1
47,64.73,60.77,1,0,42,30.52,30.12,28.68,1
39.99,55.57,60.57,0,0,28.54,24.14,21.86,14.87,1
40.79,58.76,54.5,0,1,29.92,42.15,30.94,22.77,1
36.78,46.75,56.15,0,1,21.2,37.94,30.82,8.05,0
49.47,70.79,60.66,1,0,39.28,41.98,32.19,33.1,1
50.74,70.54,62.33,0,1,32.08,41.91,29.28,25.61,1
46.81,61.25,69.13,0,0,32.84,44.07,32.33,25.99,1
35.16,51.4,55.11,0,0,28.07,30.71,27.39,22.42,1
70.04,70.09,72.71,0,1,48.69,43.75,33.54,30.43,1
39.05,60.46,57.12,1,0,36.6,33.77,25.92,27.48,1
58.34,67.22,64.65,1,0,43.93,38.03,35.97,32.75,1
42.1,60.24,58.28,1,0,43.69,35.23,33.85,26.6,1
63.02,63.62,65.3,1,0,52.83,40.31,36.43,25.7,1
66.47,78.64,78.28,1,0,50.71,45.97,29.02,27.88,1
44.47,57.3,66.14,1,1,35.57,32.54,24.9,17.71,1
31.92,49.01,45.73,1,0,40.57,21.22,22.89,24.41,1
63.35,64.01,66.94,1,0,46.69,34.4,30.01,24.56,1
77.51,87.21,86.4,0,0,51,47.23,32.27,26.61,1
59.99,66.32,65.09,1,1,43.58,43.83,30.94,16.64,1
56.93,67.41,70.42,0,0,41.43,31.03,22.35,22.62,1
64.84,78.45,67.47,0,0,40.77,44.51,40.53,33.5,1
64.18,72.62,82.49,1,1,53.06,51.86,46.35,37.45,1
45.05,70.71,66.85,1,0,38.59,32.44,30.68,24.71,1
47.09,54.92,56.76,0,0,41.98,17.88,23.68,23.45,0
62.33,73.19,67.27,0,1,40.99,33.72,26.59,24.73,1
53.27,67.43,64.08,1,1,45.62,36.24,20.59,21.59,1
70.8,71.99,75.99,1,1,56.32,41.74,39.03,32.9,1
46.55,60.44,71.83,0,1,41.4,49.08,38.97,31.99,1
64.01,71.84,64.02,1,0,48.9,40.27,31.55,20.41,1
59.11,70.69,68.17,0,1,35.27,46.68,22.12,24.68,1
53.48,67.83,60.07,0,0,36.59,30.19,20.35,26.87,1
69.11,85.22,73.1,0,1,36.38,51.8,29.3,29.22,1
63.16,74.1,71.99,1,0,42.65,27.16,28.73,7.92,1
42.94,60.49,56.5,1,0,49.06,18.92,36.72,27.25,1
62.68,81.01,76.9,1,1,49.99,38.72,24.66,12.57,1
71.5,69.12,74.36,0,0,45.91,39.49,29.94,31.28,1
53.43,63.51,57.03,1,0,41.06,29.97,24.35,29.51,1
52.02,64.24,60.68,0,0,27.48,33.17,25.52,11.1,1
46.96,50.89,53.35,0,1,39.31,31.34,31.41,25.48,1
54.84,66.59,54.49,1,1,46.49,32.74,31.95,31.9,1
63.23,58.29,61.58,0,0,36.3,33.84,24.94,14.53,1
45.19,63.12,54.64,1,1,37.91,34.2,27.62,11.42,1
38.84,45.26,48.5,1,0,33.99,33.54,26.88,18.33,1
50.49,55.36,57.84,0,1,37.2,38.98,27.78,15.41,1
38.44,56.98,46.57,1,0,44.24,19.19,17.97,16.19,1
61.28,60.95,58.28,0,0,33.93,28.91,20.98,10.55,1
49.88,74.73,70.55,1,1,44.41,43.66,32.78,23.26,1
33.94,51.15,56.07,0,1,24.74,33.48,23.28,8.32,1
50.82,62.53,71.57,0,1,29.82,48.44,34.5,32.55,1
52.69,71.74,69.38,1,0,39.91,31.33,36.6,21.36,1
60.39,69.81,65.21,0,1,48.76,35.87,40.79,29.69,1
53.26,66.39,60.23,1,0,36.63,30.62,23.67,21.02,1
77.42,82.13,73.15,0,1,47.7,46.91,33.98,21.8,1
48.78,58.57,64.55,1,0,41.8,39.62,30.12,26.18,1
54.25,67.92,59.11,0,0,34.52,38.83,24.77,16.74,1
53.77,68.47,62.22,1,0,48.93,32.33,36.19,34.3,1
51.61,56.07,58.1,0,1,38.94,31.75,27.52,18.24,1
56.71,62.24,69.79,1,0,51.69,36.84,30.15,21.97,1
61.49,67.16,70.37,0,0,49.16,29.58,24.27,36.72,1
71.08,78.13,75.06,1,0,59.15,43.5,47.56,41.36,1
36.17,54.2,57.02,0,1,30.46,39.29,38.82,26.67,1
48.88,74.59,77.86,1,1,33.79,46.53,36.68,21.28,1
49.63,63.87,60.85,1,0,40.09,23.24,16.57,10.53,1
66.25,73.64,77.78,0,0,46.03,35.76,28.59,29.46,1
50.72,58.75,63.07,0,1,38.01,42.63,34.47,22,1
32.26,55.11,59.6,0,0,20.05,33.49,22.39,6.02,1
56.05,66.97,66.58,0,1,35.49,44.61,36.15,30.68,1
54.6,68,62.6,1,1,48.9,33.6,28.49,24.05,1
57.16,67.86,61.39,0,0,37.1,38.17,30.45,17.5,1
42.52,60.19,57.76,1,0,40.8,32.65,30.38,21.18,1
75.63,84.59,75.38,1,0,57.31,38.55,28.15,21.59,1
51.11,65.58,56.68,1,0,42.86,26.78,28.36,21.99,1
52.74,64.58,75.42,1,0,48.03,36.09,37.83,31.41,1
44.2,58.71,53.69,1,1,37.66,40.85,35.26,16.58,1
43.83,60.16,56.62,0,0,31.54,35.7,27.69,23.03,1
40.33,43.7,49.77,0,0,29.53,31.98,19.71,21.71,1
50.28,62.51,70.96,1,1,36.79,35.63,28.05,19.54,1
43.51,63.52,64.14,0,0,22.7,33.97,15.13,15.44,0
79.68,81.88,86.92,1,1,55.38,54.92,47.62,37,1
32.34,36.71,44.13,1,1,23.92,30.15,30.92,25.29,1
41.46,47.78,51.81,1,0,46.37,27.73,21.37,15.26,1
50.18,63.09,63.31,0,1,39.02,49.29,33,26.63,1
63.08,67.99,74.31,1,0,50.6,47.42,37.08,37.05,1
50.03,63.33,57.88,1,0,44.42,28.08,34.97,21.82,1
63.11,72.22,67.55,1,0,42.4,36.82,33.08,14.87,1
43.16,54.55,60.45,0,0,44.1,30.79,35.3,22.89,1
55.71,61.29,69.64,1,1,50.82,44.53,36.32,39.6,1
75.93,83.12,72.43,1,0,55.6,31.02,36.93,30.29,1
43.39,57.95,55.3,1,1,42.37,49.04,39.37,26.72,1
60.03,69.28,70.6,0,1,33.62,47.27,34.86,17.16,1
57.48,73.35,72.74,0,0,36.51,35.46,27.52,21.84,0
27.98,47.19,53.9,1,1,32.98,35.41,24.62,20.8,1
47.93,57.37,65.78,0,1,27.68,43.43,24.2,19.01,1
68.57,74.28,70.93,1,1,46.48,43,40.6,33.09,1
56.62,67.09,71.61,0,0,34.02,40.73,25.81,17.21,1
40.45,56.08,51.61,0,0,28.38,32.58,18.22,17.2,1
63.29,80.49,80.39,1,0,56.25,49.75,44.76,35.56,1
49.25,72.07,66.07,1,1,44.61,46.89,35.93,33.37,1
59.32,66.68,68.74,1,0,49.59,36.61,20.64,24.02,1
59.52,63.53,68.76,1,0,39.76,33.89,32.94,29.72,1
41.58,52.92,58.94,1,0,36.32,34.08,23.27,25.84,1
64.48,75.88,74.74,0,1,35.46,46.88,31.59,29.24,1
42.91,62.18,61.57,0,1,32.86,37.11,33.03,15.76,1
39.33,52.05,47.17,1,0,35.4,33.43,21.19,26.16,1
44.41,52.82,57.42,0,1,38.31,32.29,25.37,20.06,1
50.85,65.43,60.47,1,0,42.69,45.43,30.3,21.78,1
56.31,70.98,65.66,0,1,34.22,37.11,39,29.15,1
45.73,65.5,64.5,0,0,38.75,33.3,27.46,17.88,0
63.94,69.13,76.95,0,0,41.81,45.77,40.59,29.33,1
58.02,70.49,73.22,1,0,41.34,37.89,36.58,25.85,1
46.66,50.21,53.93,1,1,32.99,31,35.81,26.75,1
65.67,73.62,70.97,1,0,50.21,43.3,29.02,29.24,1
68.93,81.01,73.22,0,0,46.71,38.43,36.44,26.91,1
53.82,74.26,69.58,1,0,45.49,35.93,32.58,30.29,1
52.42,66.13,52.87,1,0,40.81,30.24,38.44,21.21,1
33.71,48.84,49.67,1,0,34.79,27.22,19.78,20.95,1
50.11,54.15,54.09,1,0,38.17,28.5,33.48,22.52,1
51.5,65,62.79,1,1,39.33,37.91,27.68,24.77,1
57.94,72.25,61.67,0,1,29.52,41.46,27.69,21.2,1
52.98,70.82,65.12,1,1,42.94,38.94,34.25,24.57,1
57.93,69.91,75.41,1,0,50.15,38.71,34.44,25.85,1
73.41,74.32,75.19,0,0,45.93,42.78,35.14,42.35,1
48.64,64.8,57.21,0,0,33.85,26.77,24.3,21.57,1
49.11,71.97,64.58,0,1,42.81,39.35,34.74,16.45,1
39.29,52.89,54.57,1,1,46.59,37.1,32.54,21.94,1
54.9,61.36,51.04,0,0,34.48,29.84,25,28.83,1
66.72,73.06,83.67,1,0,52.15,35.4,34.31,28.42,1
33.99,50.41,52.52,1,0,46.01,28.9,31.81,22.73,1
47.01,57.12,59.45,1,0,35.29,28.32,26.28,9.24,1
55.43,70.81,71.71,0,1,29.59,41.57,33.33,23.32,1
